---
teams: 1810
divisions:
  D1 Men: 241
  D1 Women: 307
  D2 Men: 145
  D2 Women: 195
  D3 Men: 280
  D3 Women: 307
  JUCO Women: 60
  JUCO Men: 60
  NAIA Men: 102
  NAIA Women: 111
---
division	conference	gender	code	name	city	state	slamId	ncaaId	utrId	r2Id	itaRoot	itaId
d1  	A-10      	M	  DAV	Davidson                  	           Davidson	NC		  173	 1081		DavidsonCollegeM                       	89e5371a-c936-4f5b-94b6-55ddcc8009ce
d1  	A-10      	W	  DAV	Davidson                  	           Davidson	NC		  173	 1082		DavidsonCollegeW                       	285c51f2-c66f-41c0-ae54-c44057c8de1a
d1  	A-10      	M	  DAY	Dayton                    	             Dayton	OH		  175	 1067		UniversityOfDaytonM                    	9e412a6f-09f8-48ea-b983-560e9b99d993
d1  	A-10      	W	  DAY	Dayton                    	             Dayton	OH		  175	 1068		UniversityOfDaytonW                    	70ac3e0b-fdf5-4230-b118-b7b6d2f0b2e2
d1  	A-10      	M	  DUQ	Duquesne                  	         Pittsburgh	PA		  194	 1090		DuquesneUniversityM                    	917e7cf5-6f73-4bd8-ad40-fd85ac05e66d
d1  	A-10      	W	  DUQ	Duquesne                  	         Pittsburgh	PA		  194	 1091		DuquesneUniversityW                    	654c0aab-ee2a-4667-83fe-f11b4e18964a
d1  	A-10      	M	 FORD	Fordham                   	              Bronx	NY		  236	 1286		FordhamUniversityM                     	833d05eb-0bc8-4444-99b5-36d23037d74d
d1  	A-10      	W	 FORD	Fordham                   	              Bronx	NY		  236	 1287		FordhamUniversityW                     	839b4430-43e1-4b78-aec5-f3d55888afe6
d1  	A-10      	M	  GMU	George Mason              	            Fairfax	VA		  248	 1402		GeorgeMasonUniversityM                 	dc6c3807-278e-4207-8406-e84a46dea6de
d1  	A-10      	W	  GMU	George Mason              	            Fairfax	VA		  248	 1403		GeorgeMasonUniversityW                 	215eb18a-bb19-486e-a9b5-a70ad1790a04
d1  	A-10      	W	   GW	George Washington         	         Washington	DC		  249	 1042		GeorgeWashingtonUniversityW            	1bb8e55c-2106-4715-8378-7d1b62d016a9
d1  	A-10      	W	  URI	Rhode Island              	           Kingston	RI		  572	 1716		UniversityOfRhodeIslandW               	c25f45f2-eaca-4b9a-9e30-da04ac798f31
d1  	A-10      	M	 RICH	Richmond                  	           Richmond	VA		  575	 1103		UniversityOfRichmondM                  	9db9fc0d-3e90-4735-8780-ba55fb808c97
d1  	A-10      	W	 RICH	Richmond                  	           Richmond	VA		  575	 1104		UniversityOfRichmondW                  	b1cb36a9-7cbb-4d38-b0fc-d3c5f7c8215d
d1  	A-10      	M	  SLU	Saint Louis               	        Saint Louis	MO		  609	 1400		SaintLouisUniversityM                  	12ee6f9b-504d-4012-aa05-046bed0d49e6
d1  	A-10      	W	  SLU	Saint Louis               	        Saint Louis	MO		  609	 1401		SaintLouisUniversityW                  	b3436eb7-6272-4e7e-945f-d57d226cb238
d1  	A-10      	M	  SBU	St. Bonaventure           	    St. Bonaventure	NY		  596	 1370		SaintBonaventureUniversityM            	3ec0edd9-2076-4ef3-93f9-b00dd3138b57
d1  	A-10      	W	  SBU	St. Bonaventure           	    St. Bonaventure	NY		  596	 1371		SaintBonaventureUniversityW            	2531aeec-a8dc-405a-be7a-e522a0e5d5dc
d1  	A-10      	M	 JOES	St. Joseph's (PA)         	       Philadelphia	PA		  606	 1226		SaintJosephsUniversityM                	4b0560a2-5de5-4807-9756-55d2e6814828
d1  	A-10      	W	 JOES	St. Joseph's (PA)         	       Philadelphia	PA		  606	 1227		SaintJosephsUniversityW                	f92575f4-84c1-43dd-b5a5-04ad01dbc681
d1  	A-10      	W	UMASS	UMass                     	            Amherst	MA		  400	 1695		UnivOfMassachusettsAmherstW            	227a96d2-c345-4a55-9d9c-92c3b54d5c41
d1  	A-10      	M	  VCU	VCU                       	           Richmond	VA		  740	 1013		VirginiaCommonwealthUnivM              	06471a92-4609-433c-bbb9-cd1cc8b44b31
d1  	A-10      	W	  VCU	VCU                       	           Richmond	VA		  740	 1014		VirginiaCommonwealthUnivW              	b5c12112-7f4a-4916-b9d6-da0f9035ccfd
d1  	ACC       	M	   BC	Boston College            	      Chestnut Hill	MA		   67	 1325		BostonCollegeM                         	fc92b93f-2d30-4b64-be6b-7cfd8126222d
d1  	ACC       	W	   BC	Boston College            	      Chestnut Hill	MA		   67	 1326		BostonCollegeW                         	268b2849-2344-4141-a7fa-3cb022234d03
d1  	ACC       	M	 CLEM	Clemson                   	            Clemson	SC		  147	 1212		ClemsonUniversityM                     	24f244b6-deb6-4fab-80fd-7ac5227f4832
d1  	ACC       	W	 CLEM	Clemson                   	            Clemson	SC		  147	 1213		ClemsonUniversityW                     	faa4ae6c-4724-4176-9a6a-c150313d523c
d1  	ACC       	M	 DUKE	Duke                      	             Durham	NC		  193	  866		DukeUniversityM                        	4b118544-8956-46b9-b4fb-6bf1ee2998e9
d1  	ACC       	W	 DUKE	Duke                      	             Durham	NC		  193	  867		DukeUniversityW                        	893c3e46-d577-45fa-8a1f-aba1e82e4d96
d1  	ACC       	M	  FSU	Florida State             	        Tallahassee	FL		  234	  939		FloridaStateUniversityM                	9c25db90-c2f2-438d-b418-1e31df40e351
d1  	ACC       	W	  FSU	Florida State             	        Tallahassee	FL		  234	  940		FloridaStateUniversityW                	72e68ce9-9444-4b4d-8317-adcae20a85bc
d1  	ACC       	M	   GT	Georgia Tech              	            Atlanta	GA		  255	  955		GeorgiaTechM                           	8f398642-3995-428a-84be-ce55c55bc5fd
d1  	ACC       	W	   GT	Georgia Tech              	            Atlanta	GA		  255	  956		GeorgiaTechW                           	82732dd7-8d60-419f-8e82-6bb925981f39
d1  	ACC       	M	  LOU	Louisville                	         Louisville	KY		  367	  931		UniversityOfLouisvilleM                	c9ca8b99-867b-4c0f-a57e-3445ef22d5a6
d1  	ACC       	W	  LOU	Louisville                	         Louisville	KY		  367	  932		UniversityOfLouisvilleW                	39962526-aae4-488d-9d07-2285fef5e1f3
d1  	ACC       	M	  MIA	Miami (FL)                	       Coral Gables	FL		  415	 2459		UniversityOfMiamiM                     	f3bfc7c5-86d6-4af3-9377-c84209a35968
